model_name,biomarker_set,accuracy,precision,recall,f1,AUC,TP,FP,TN,FN
xgboost,ponti,0.9262295081967213,0.9060773480662984,0.9425287356321839,0.923943661971831,0.9791352250242242,164,17,175,10
knn,ponti,0.9207650273224044,0.9239766081871345,0.9080459770114943,0.9159420289855073,0.9747913510563263,158,13,179,16
decision_tree,semiz,0.9180327868852459,0.9044943820224719,0.9252873563218391,0.9147727272727272,0.9319781012961664,161,17,175,13
logistic_regression,semiz,0.9371584699453552,0.9217877094972067,0.9482758620689655,0.9348441926345609,0.987222154346487,165,14,178,9
neural_network,semiz,0.980930930930931,0.9668610251117992,0.9941176470588236,0.9801062530474296,0.9814907366455353,173,6,186,1
xgboost,semiz,0.9480874316939891,0.9281767955801105,0.9655172413793104,0.9464788732394367,0.9864469512041107,168,13,179,6
knn,semiz,0.9180327868852459,0.9390243902439024,0.8850574712643678,0.911242603550296,0.979479489862133,154,10,182,20
decision_tree,zhao,0.9398907103825137,0.9086021505376344,0.9712643678160919,0.9388888888888889,0.9447241470462899,169,17,175,5
logistic_regression,zhao,0.9508196721311475,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9890397353306645,168,12,180,6
neural_network,zhao,0.9672672672672672,0.9433981399577375,0.9897368421052631,0.9651892376902304,0.9699577374809574,172,10,182,2
xgboost,zhao,0.9480874316939891,0.918918918918919,0.9770114942528736,0.947075208913649,0.9836404586698706,170,15,177,4
